region_id,timestamp,val_Temperature.mean,extra_rings_Temperature.mean
LD,2017-01-04,6.05,0
LE,2017-01-04,5.3,1
LL,2017-01-04,6.479166666666666,0
LN,2017-01-04,4.8,0
LS,2017-01-04,4.627173913043479,1
LU,2017-01-04,5.35,1
M,2017-01-04,5.4,1
ME,2017-01-04,6.0,0
MK,2017-01-04,5.533333333333334,1
ML,2017-01-04,1.1,0
N,2017-01-04,5.6,2
NE,2017-01-04,2.103787878787879,1
NG,2017-01-04,5.105833333333334,1
NN,2017-01-04,5.625,1
NP,2017-01-04,6.183333333333334,1
NR,2017-01-04,6.15,0
NW,2017-01-04,4.832291666666666,2
OL,2017-01-04,5.4,1
OX,2017-01-04,5.633333333333333,0
PA,2017-01-04,2.333333333333333,0
PE,2017-01-04,5.6,0
PH,2017-01-04,3.8166666666666655,0
PL,2017-01-04,7.0,0
PO,2017-01-04,5.75,0
PR,2017-01-04,5.1,1
RG,2017-01-04,4.75,0
RH,2017-01-04,5.6,0
RM,2017-01-04,6.0,1
S,2017-01-04,5.32916666666667,0
SA,2017-01-04,6.5,0
SE,2017-01-04,5.8175,2
SG,2017-01-04,5.6,0
SK,2017-01-04,5.4,0
SL,2017-01-04,4.619791666666668,1
SM,2017-01-04,5.771875,2
SN,2017-01-04,5.310416666666667,1
SO,2017-01-04,3.775,0
SP,2017-01-04,4.66875,0
SR,2017-01-04,3.4,1
SS,2017-01-04,6.0,1
ST,2017-01-04,5.0,0
SW,2017-01-04,4.6875,1
SY,2017-01-04,6.924999999999999,0
TA,2017-01-04,5.9,0
TD,2017-01-04,2.375,0
TF,2017-01-04,6.540000000000001,1
TN,2017-01-04,6.4,0
TQ,2017-01-04,6.3,0
TR,2017-01-04,7.0,1
TS,2017-01-04,3.4,0
TW,2017-01-04,4.6875,0
UB,2017-01-04,3.94166666666667,0
W,2017-01-04,4.314583333333335,1
WA,2017-01-04,5.4,1
WC,2017-01-04,4.314583333333335,2
WD,2017-01-04,4.520833333333335,1
WF,2017-01-04,5.7,0
WN,2017-01-04,5.25,2
WR,2017-01-04,6.6000000000000005,1
WS,2017-01-04,5.0,1
WV,2017-01-04,6.539999999999999,1
YO,2017-01-04,4.997554347826087,0
ZE,2017-01-04,,2
AB,2017-01-05,-2.3666666666666667,0
AL,2017-01-05,-0.9,1
B,2017-01-05,-0.1,1
BA,2017-01-05,-1.0824074074074077,1
BB,2017-01-05,-4.7,1
BD,2017-01-05,-4.7,0
BH,2017-01-05,-1.1722222222222232,0
BL,2017-01-05,-4.4,2
BN,2017-01-05,0.09999999999999998,0
BR,2017-01-05,1.0,1
BS,2017-01-05,-1.0,0
BT,2017-01-05,2.81,0
CA,2017-01-05,-3.3465277777777787,0
CB,2017-01-05,0.5,0
CF,2017-01-05,-2.2166666666666663,1
CH,2017-01-05,-2.26547619047619,1
CM,2017-01-05,-0.26666666666666666,1
CO,2017-01-05,-0.4,0
CR,2017-01-05,1.0,1
CT,2017-01-05,0.4,1
CV,2017-01-05,-2.4833333333333334,1
CW,2017-01-05,-3.12,1
DA,2017-01-05,0.4000000000000001,1
DD,2017-01-05,-3.7,0
DE,2017-01-05,-0.1,0
DG,2017-01-05,-1.5,0
DH,2017-01-05,-3.35,1
DL,2017-01-05,-4.6,0
DN,2017-01-05,0.7702380952380946,1
DT,2017-01-05,0.15,0
DY,2017-01-05,-3.766666666666667,1
E,2017-01-05,-0.9,2
EC,2017-01-05,0.244444444444445,3
EH,2017-01-05,-5.2,0
EN,2017-01-05,-0.9,1
EX,2017-01-05,1.075,0
FK,2017-01-05,-1.6,0
FY,2017-01-05,-3.672395833333333,2
G,2017-01-05,-3.95,0
GL,2017-01-05,-2.0,0
GU,2017-01-05,0.8962962962962967,1
GY,2017-01-05,,2
HA,2017-01-05,-0.025,1
HD,2017-01-05,-2.475,1
