region_id,timestamp,val_SO2_max,extra_rings_SO2_max
JE,2017-01-07,,2
KA,2017-01-07,33.5,2
KT,2017-01-07,51.0,2
KW,2017-01-07,3.0,3
KY,2017-01-07,33.5,1
L,2017-01-07,53.0,0
LA,2017-01-07,75.0,2
LD,2017-01-07,58.33333333333334,1
LE,2017-01-07,119.0,1
LL,2017-01-07,119.0,0
LN,2017-01-07,119.0,1
LS,2017-01-07,86.0,0
LU,2017-01-07,104.33333333333331,3
M,2017-01-07,64.0,0
ME,2017-01-07,53.0,0
MK,2017-01-07,119.0,2
ML,2017-01-07,33.5,1
N,2017-01-07,97.0,1
NE,2017-01-07,75.0,2
NG,2017-01-07,119.0,0
NN,2017-01-07,119.0,2
NP,2017-01-07,86.0,1
NR,2017-01-07,119.0,2
NW,2017-01-07,130.0,0
OL,2017-01-07,64.0,1
OX,2017-01-07,121.0,2
PA,2017-01-07,3.0,1
PE,2017-01-07,119.0,1
PH,2017-01-07,3.0,1
PL,2017-01-07,49.0,2
PO,2017-01-07,3.0,1
PR,2017-01-07,53.0,1
RG,2017-01-07,62.0,2
RH,2017-01-07,3.0,1
RM,2017-01-07,64.0,0
S,2017-01-07,58.5,0
SA,2017-01-07,44.5,0
SE,2017-01-07,64.0,1
SG,2017-01-07,104.33333333333331,2
SK,2017-01-07,60.33333333333334,1
SL,2017-01-07,73.0,2
SM,2017-01-07,75.0,2
SN,2017-01-07,121.0,1
SO,2017-01-07,62.0,2
SP,2017-01-07,121.0,1
SR,2017-01-07,86.0,1
SS,2017-01-07,58.5,1
ST,2017-01-07,75.0,2
SW,2017-01-07,75.0,1
SY,2017-01-07,69.33333333333333,1
TA,2017-01-07,49.0,0
TD,2017-01-07,64.0,1
TF,2017-01-07,69.33333333333333,2
TN,2017-01-07,28.0,1
