region_id,timestamp,val_Pressure.max,extra_rings_Pressure.max
G,2017-01-07,1012.5,8
GL,2017-01-07,1017.4,2
GU,2017-01-07,1029.7,1
GY,2017-01-07,,2
HA,2017-01-07,1028.6,1
HD,2017-01-07,1012.5,4
HG,2017-01-07,1012.5,6
HP,2017-01-07,1023.275,2
HR,2017-01-07,1012.5,2
HS,2017-01-07,,2
HU,2017-01-07,1012.5,6
HX,2017-01-07,1012.5,5
IG,2017-01-07,1029.15,3
IM,2017-01-07,,2
IP,2017-01-07,1023.275,5
IV,2017-01-07,1012.5,10
JE,2017-01-07,,2
KA,2017-01-07,1012.5,7
KT,2017-01-07,1029.7,1
KW,2017-01-07,1012.5,11
KY,2017-01-07,1012.5,8
L,2017-01-07,1012.5,2
LA,2017-01-07,1012.5,4
LD,2017-01-07,1012.5,2
LE,2017-01-07,1015.7666666666668,4
LL,2017-01-07,1012.5,0
LN,2017-01-07,1023.275,5
LS,2017-01-07,1012.5,6
LU,2017-01-07,1023.275,3
M,2017-01-07,1012.5,3
ME,2017-01-07,1029.7,4
MK,2017-01-07,1023.275,3
ML,2017-01-07,1012.5,7
N,2017-01-07,1029.15,3
NE,2017-01-07,1012.5,6
NG,2017-01-07,1021.12,5
NN,2017-01-07,1017.4,3
